,date,time,bid,bs,ask,as
0,2023-01-01,1672635559.0,1201.1,7.5094533,1201.11,31.8558611
1,2023-01-01,1672635560.0,1201.1,7.5094533,1201.11,31.8558611
2,2023-01-01,1672635561.0,1201.1,7.5098476,1201.11,29.7866444
3,2023-01-01,1672635562.0,1201.1,7.5098476,1201.11,29.7866444
4,2023-01-01,1672635563.0,1201.1,7.5098476,1201.11,31.8514968
5,2023-01-01,1672635564.0,1201.1,7.5098476,1201.11,31.8514968
6,2023-01-01,1672635565.0,1201.1,7.5098476,1201.11,31.8514968
7,2023-01-01,1672635566.0,1201.1,7.5098476,1201.11,31.8298502
8,2023-01-01,1672635567.0,1201.1,7.3463412,1201.11,31.3234256
9,2023-01-01,1672635568.0,1201.1,7.3463412,1201.11,31.3234256
10,2023-01-01,1672635569.0,1201.1,7.3463412,1201.11,31.3143841
11,2023-01-01,1672635570.0,1201.1,7.3463412,1201.11,31.3143841
12,2023-01-01,1672635571.0,1201.1,7.3463412,1201.11,31.3143841
13,2023-01-01,1672635572.0,1201.1,12.3463412,1201.11,29.1428986
14,2023-01-01,1672635573.0,1201.1,7.3463412,1201.11,31.207751
15,2023-01-01,1672635574.0,1201.1,12.3463412,1201.11,29.1428986
16,2023-01-01,1672635575.0,1201.1,12.2157458,1201.11,22.1428986
17,2023-01-01,1672635576.0,1201.1,15.6621651,1201.11,13.2701064
18,2023-01-01,1672635577.0,1201.1,15.6621651,1201.11,13.1926781
19,2023-01-01,1672635578.0,1201.1,15.6621651,1201.11,13.1926781
20,2023-01-01,1672635579.0,1201.1,15.6621651,1201.11,13.1926781
21,2023-01-01,1672635580.0,1201.1,15.6621651,1201.11,13.1926781
22,2023-01-01,1672635581.0,1201.1,15.6621651,1201.11,13.1926781
23,2023-01-01,1672635582.0,1201.1,15.6634844,1201.11,0.1953608
24,2023-01-01,1672635583.0,1201.33,11.742953,1201.34,3.0
25,2023-01-01,1672635584.0,1201.65,9.1965238,1201.66,20.6690958
26,2023-01-01,1672635585.0,1201.65,9.1965238,1201.66,18.6042434
27,2023-01-01,1672635586.0,1201.55,14.2843085,1201.56,29.2196127
28,2023-01-01,1672635587.0,1201.55,14.2843085,1201.56,29.2196127
29,2023-01-01,1672635588.0,1201.55,14.2843085,1201.56,31.2844651
30,2023-01-01,1672635589.0,1201.55,14.2843085,1201.56,31.2803879
31,2023-01-01,1672635590.0,1201.55,14.2843085,1201.56,31.2803879
32,2023-01-01,1672635591.0,1201.55,19.2843085,1201.56,22.2155355
33,2023-01-01,1672635592.0,1201.55,19.2843085,1201.56,22.2155355
34,2023-01-01,1672635593.0,1201.55,14.3045305,1201.56,22.2155355
35,2023-01-01,1672635594.0,1201.55,14.3045305,1201.56,21.9200863
36,2023-01-01,1672635595.0,1201.55,14.300193,1201.56,19.4863904
37,2023-01-01,1672635596.0,1201.55,14.300193,1201.56,19.4863904
38,2023-01-01,1672635597.0,1201.55,14.300193,1201.56,19.4863904
39,2023-01-01,1672635598.0,1201.55,14.300193,1201.56,19.9030224
40,2023-01-01,1672635599.0,1201.55,14.300193,1201.56,19.7308465
41,2023-01-02,1672635600.0,1201.55,14.300193,1201.56,21.6655549
42,2023-01-02,1672635601.0,1201.55,14.2993575,1201.56,19.6007025
43,2023-01-02,1672635602.0,1201.55,14.299028,1201.56,21.6239757
44,2023-01-02,1672635603.0,1201.55,14.299028,1201.56,19.5508075
45,2023-01-02,1672635604.0,1201.55,14.299028,1201.56,19.5219215
46,2023-01-02,1672635605.0,1201.55,14.299028,1201.56,19.5219215
47,2023-01-02,1672635606.0,1201.55,14.299028,1201.56,19.5489446
48,2023-01-02,1672635607.0,1201.55,19.299028,1201.56,19.5489446
49,2023-01-02,1672635608.0,1201.66,18.7532637,1201.67,21.4033436
50,2023-01-02,1672635609.0,1201.66,23.7532637,1201.67,8.0
51,2023-01-02,1672635610.0,1201.66,23.7511466,1201.67,7.9978829
52,2023-01-02,1672635611.0,1201.66,23.7490295,1201.67,7.9957658
53,2023-01-02,1672635612.0,1201.71,14.683604,1201.72,6.0939525
54,2023-01-02,1672635613.0,1201.71,14.6814869,1201.72,11.0918354
55,2023-01-02,1672635614.0,1201.71,14.6793698,1201.72,11.0897183
56,2023-01-02,1672635615.0,1201.71,14.6651108,1201.72,14.55472
57,2023-01-02,1672635616.0,1201.71,14.6651108,1201.72,14.3287036
58,2023-01-02,1672635617.0,1201.58,9.7384055,1201.59,14.932349
59,2023-01-02,1672635618.0,1201.58,14.7341713,1201.59,14.9281148
60,2023-01-02,1672635619.0,1201.58,9.7341713,1201.59,18.2906648
61,2023-01-02,1672635620.0,1201.48,20.9487377,1201.49,29.0877181
62,2023-01-02,1672635621.0,1201.48,20.9466206,1201.49,29.0899383
63,2023-01-02,1672635622.0,1201.48,20.9445035,1201.49,17.0920554
64,2023-01-02,1672635623.0,1201.48,20.9423864,1201.49,16.468175
65,2023-01-02,1672635624.0,1201.48,20.9402693,1201.49,16.4660579
66,2023-01-02,1672635625.0,1201.48,20.9381522,1201.49,16.4660579
67,2023-01-02,1672635626.0,1201.48,20.9403983,1201.49,16.4594211
68,2023-01-02,1672635627.0,1201.48,20.9382812,1201.49,16.457304
69,2023-01-02,1672635628.0,1201.48,20.9318009,1201.49,16.4760435
70,2023-01-02,1672635629.0,1201.48,20.9296838,1201.49,1.4551004
71,2023-01-02,1672635630.0,1201.48,26.5296838,1201.49,0.0165117
72,2023-01-02,1672635631.0,1201.58,18.182859,1201.59,6.3769457
73,2023-01-02,1672635632.0,1201.58,21.036371,1201.59,5.073833
74,2023-01-02,1672635633.0,1201.58,21.0342539,1201.59,5.0717159
75,2023-01-02,1672635634.0,1201.58,21.0321368,1201.59,15.3198633
76,2023-01-02,1672635635.0,1201.58,21.0321368,1201.59,15.3198633
77,2023-01-02,1672635636.0,1201.58,21.0300197,1201.59,15.3177462
78,2023-01-02,1672635637.0,1201.58,21.0257855,1201.59,13.2486596
79,2023-01-02,1672635638.0,1201.58,21.0257855,1201.59,13.2486596
80,2023-01-02,1672635639.0,1201.58,21.0236684,1201.59,13.2465425
81,2023-01-02,1672635640.0,1201.58,21.0215513,1201.59,13.2444254
82,2023-01-02,1672635641.0,1201.58,23.4919054,1201.59,5.0612326
83,2023-01-02,1672635642.0,1201.7,20.9669077,1201.71,8.0254096
84,2023-01-02,1672635643.0,1201.7,20.9669077,1201.71,8.0232925
85,2023-01-02,1672635644.0,1201.7,20.9669077,1201.71,8.0232925
86,2023-01-02,1672635645.0,1201.7,20.9669077,1201.71,8.0232925
87,2023-01-02,1672635646.0,1201.7,20.9669077,1201.71,8.0232925
88,2023-01-02,1672635647.0,1201.7,20.9669077,1201.71,8.0232925
89,2023-01-02,1672635648.0,1201.7,20.9669077,1201.71,8.0232925
90,2023-01-02,1672635649.0,1201.7,15.9669077,1201.71,11.317787
91,2023-01-02,1672635650.0,1201.7,20.9669077,1201.71,8.0276289
92,2023-01-02,1672635651.0,1201.7,20.9669077,1201.71,2.9607784
93,2023-01-02,1672635652.0,1201.7,20.9669077,1201.71,7.9607784
94,2023-01-02,1672635653.0,1201.81,25.382625,1201.82,17.5782217
95,2023-01-02,1672635654.0,1201.85,31.6182977,1201.86,1.8561355
96,2023-01-02,1672635655.0,1201.85,21.0212922,1201.86,23.7070007
97,2023-01-02,1672635656.0,1201.85,26.0212922,1201.86,23.7187106
98,2023-01-02,1672635657.0,1201.85,26.0212922,1201.86,23.7187106
99,2023-01-02,1672635658.0,1201.85,21.0212922,1201.86,25.783563
100,2023-01-02,1672635659.0,1201.85,12.1458766,1201.86,25.783563
101,2023-01-02,1672635660.0,1201.85,12.1458766,1201.86,25.783563
102,2023-01-02,1672635661.0,1201.85,17.1458766,1201.86,25.783563
103,2023-01-02,1672635662.0,1201.85,17.1458766,1201.86,25.7792128
104,2023-01-02,1672635663.0,1201.85,12.1458766,1201.86,25.6434884
105,2023-01-02,1672635664.0,1201.85,12.1458766,1201.86,25.6434884
106,2023-01-02,1672635665.0,1201.85,12.1458766,1201.86,25.6434884
107,2023-01-02,1672635666.0,1201.85,26.5042057,1201.86,20.1187831
108,2023-01-02,1672635667.0,1201.85,21.5042057,1201.86,22.1836355
109,2023-01-02,1672635668.0,1201.85,19.9042057,1201.86,22.1836355
110,2023-01-02,1672635669.0,1201.85,19.9042057,1201.86,22.1836355
111,2023-01-02,1672635670.0,1201.85,12.1458766,1201.86,22.1836355
112,2023-01-02,1672635671.0,1201.85,12.1458766,1201.86,22.1836355
113,2023-01-02,1672635672.0,1201.85,12.1458766,1201.86,22.1836355
114,2023-01-02,1672635673.0,1201.85,12.1458766,1201.86,22.1746816
115,2023-01-02,1672635674.0,1201.86,24.0038161,1201.87,3.1582548
116,2023-01-02,1672635675.0,1201.86,18.5296233,1201.87,27.0128924
117,2023-01-02,1672635676.0,1201.86,18.5296233,1201.87,27.0128924
118,2023-01-02,1672635677.0,1201.86,13.5122778,1201.87,24.94804
119,2023-01-02,1672635678.0,1201.86,18.5122778,1201.87,25.784713
120,2023-01-02,1672635679.0,1201.86,18.5122778,1201.87,27.8495654
121,2023-01-02,1672635680.0,1201.86,13.5122778,1201.87,27.8539029
122,2023-01-02,1672635681.0,1201.86,13.5122778,1201.87,27.8539029
